utr_id,utr_rating,playerId,playerFamilyName,playerGivenName,playerNationalityCode,playerNationality,profileLink,hiddenPlayer,birthYear,rankMovement,rank,rankEqualFlag,tournamentsPlayed,points,profileImage,tournamentsPlayedSingles,tournamentsPlayedDoubles,pointsRankingSingles,pointsRankingDoubles,pointsRankingTotal,age,player_name
10996,3X6,800517707,Gomez,Mateo,COL,Colombia,/en/players/mateo-gomez/800517707/col/,False,2002,-2,96,,26,487.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Mateo Gomez
297038,12.59,800473487,Lapadat,Joshua,CAN,Canada,/en/players/joshua-lapadat/800473487/can/,False,2002,-5,97,,25,483.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Joshua Lapadat
1894780,13.06,800400130,Kachmazov,Alibek,RUS,Russia,/en/players/alibek-kachmazov/800400130/rus/,False,2002,-41,98,,18,478.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Alibek Kachmazov
280120,3X6,800517319,Zabala Vargas,Juan Sebastian,ECU,Ecuador,/en/players/juan-sebastian-zabala-vargas/800517319/ecu/,False,2002,-3,99,,30,471.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Juan Sebastian Zabala Vargas
274829,3X6,800449500,Lipp,Mika,GER,Germany,/en/players/mika-lipp/800449500/ger/,False,2003,-2,100,,28,469.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Mika Lipp
270837,3X6,800519960,Loureiro,Joao Victor Couto,BRA,Brazil,/en/players/joao-victor-couto-loureiro/800519960/bra/,False,2003,-2,101,,34,459.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Joao Victor Couto Loureiro
270236,12.37,800519847,Zanellato,Nicolas,BRA,Brazil,/en/players/nicolas-zanellato/800519847/bra/,False,2002,-1,102,,26,453.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Nicolas Zanellato
275716,13.03,800460903,Bailly,Pierre Yves,BEL,Belgium,/en/players/pierre-yves-bailly/800460903/bel/,False,2003,-1,103,,29,451.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Pierre Yves Bailly
274823,3X6,800441401,Topo,Marko,SRB,Serbia,/en/players/marko-topo/800441401/srb/,False,2003,-1,104,,35,451.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Marko Topo
276519,3X6,800433969,Vasa,Iiro,FIN,Finland,/en/players/iiro-vasa/800433969/fin/,False,2002,29,105,,45,437.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Iiro Vasa
1962838,3X6,800406238,Guerrero Melgar,Angel,ESP,Spain,/en/players/angel-guerrero-melgar/800406238/esp/,False,2002,2,106,,44,436.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Angel Guerrero Melgar
1813228,3X6,800413636,Gulin,Svyatoslav,RUS,Russia,/en/players/svyatoslav-gulin/800413636/rus/,False,2002,-2,107,,32,434.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Svyatoslav Gulin
274744,3X6,800492782,Dominguez Collado,Juan Sebastian,GUA,Guatemala,/en/players/juan-sebastian-dominguez-collado/800492782/gua/,False,2002,-2,108,,39,430.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Juan Sebastian Dominguez Collado
1871317,3X6,800475028,Gueymard Wayenburg,Sascha,FRA,France,/en/players/sascha-gueymard-wayenburg/800475028/fra/,False,2003,-2,109,,26,430.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Sascha Gueymard Wayenburg
258952,3X6,800466587,Bielinskyi,Viacheslav,UKR,Ukraine,/en/players/viacheslav-bielinskyi/800466587/ukr/,False,2003,3,110,,30,427.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Viacheslav Bielinskyi
1939230,3X6,800466383,Borg,Leo,SWE,Sweden,/en/players/leo-borg/800466383/swe/,False,2003,-2,111,,26,426.0,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e1220866ba7bfe08.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132134695770000000,,,,,,17,Leo Borg
